,betweenness,pagerank,closeness,katz,hits_authority,hits_hub,eigenvector
FGG,0.0,0.0013579342127452367,0.5714285714285714,0.022693328803323955,3.5517780927832716e-24,3.551778092783271e-24,4.973135566425202e-23
MYOC,0.0,0.0002123743451803819,,0.022237215589954378,0.0,0.0,0.0
GRIP2,0.0,0.0009116981335611322,0.4,0.022464170463328634,3.50555270244876e-24,3.505552702448755e-24,4.596383754559624e-23
KIAA1211L,0.0,0.0002123743451803819,,0.022237215589954378,0.0,0.0,0.0
PTP4A3,0.0,0.0002123743451803819,,0.022237215589954378,0.0,0.0,0.0
PGA4,0.0,0.0002123743451803819,,0.022237215589954378,0.0,0.0,0.0
SLPI,0.0,0.0002123743451803819,,0.022237215589954378,0.0,0.0,0.0
CYSLTR2,0.0,0.0002123743451803819,,0.022237215589954378,0.0,0.0,0.0
CD34,0.0,0.0002123743451803819,,0.022237215589954378,0.0,0.0,0.0
OSM,0.0,0.0002123743451803819,,0.022237215589954378,0.0,0.0,0.0
CD48,0.0,0.0009935641879699508,0.5,0.02246410303056299,8.752494930615323e-30,8.752494930615321e-30,2.2952058591413395e-28
SLC25A4,0.0,0.0002123743451803819,,0.022237215589954378,0.0,0.0,0.0
ZDHHC11B,0.0,0.0002123743451803819,,0.022237215589954378,0.0,0.0,0.0
GOLGA8M,0.0,0.0002123743451803819,,0.022237215589954378,0.0,0.0,0.0
PRSS44,0.0,0.0002123743451803819,,0.022237215589954378,0.0,0.0,0.0
F13A1,0.0,0.0002123743451803819,,0.022237215589954378,0.0,0.0,0.0
OIT3,0.0,0.0002123743451803819,,0.022237215589954378,0.0,0.0,0.0
OR6C68,0.0,0.0002123743451803819,,0.022237215589954378,0.0,0.0,0.0
ZNF831,0.0,0.0002123743451803819,,0.022237215589954378,0.0,0.0,0.0
UBE2QL1,0.0,0.0002123743451803819,,0.022237215589954378,0.0,0.0,0.0
